"Sample","Glikoliz","TCA_Dongusu","Lipid_Sentezi","Nukleotit","Cancer"
"TCGA-4G-AAZT-01A",3.57034373901699,3.6365647257811,3.26640838147059,3.21897046265673,"CHOL"
"TCGA-W5-AA2I-01A",3.52822558279643,3.69074506981412,3.35709125086373,3.40731181577792,"CHOL"
"TCGA-W5-AA39-01A",3.58257682602947,3.73662227449859,3.47727126659033,3.3522861014136,"CHOL"
"TCGA-ZH-A8Y1-01A",3.77147196721489,3.66521157188849,3.48937045913559,3.43932488212376,"CHOL"
"TCGA-ZD-A8I3-01A",3.76015954944174,3.6913868218174,3.63860361395005,3.4912753235393,"CHOL"
"TCGA-W6-AA0S-01A",3.89411145614439,3.78277375487067,3.56599690650935,3.48784020593825,"CHOL"
"TCGA-3X-AAVA-01A",3.74657891111183,3.76616971599993,3.51557807492379,3.43172886846992,"CHOL"
"TCGA-ZU-A8S4-11A",3.38404495089904,3.70680727473981,3.48724030711556,3.11745189661663,"CHOL"
"TCGA-WD-A7RX-01A",3.65991440023454,3.73653300422544,3.56337933729835,3.47606670828155,"CHOL"
"TCGA-W5-AA2T-01A",3.61097505915455,3.71242954902956,3.43135570299685,3.50190656497161,"CHOL"
"TCGA-W5-AA31-01A",3.74110004473768,3.77459270521087,3.62424692079326,3.50005857908954,"CHOL"
"TCGA-W5-AA2I-11A",3.25858899868155,3.7293722917395,3.44270034485338,3.10407300007157,"CHOL"
"TCGA-W5-AA34-11A",3.32162460316086,3.77127877114519,3.54787329505329,3.23846659815007,"CHOL"
"TCGA-ZH-A8Y8-01A",3.85876464921332,3.74130111210322,3.666255094837,3.45888585563085,"CHOL"
"TCGA-3X-AAVE-01A",3.73309705391599,3.72704850682524,3.54981564182176,3.49208876280894,"CHOL"
"TCGA-ZH-A8Y4-01A",3.83503172985617,3.83613904462857,3.57830801186494,3.51318547444775,"CHOL"
"TCGA-W5-AA2Q-01A",3.80072525024451,3.73222221000799,3.53232040015134,3.44893564621811,"CHOL"
"TCGA-W5-AA2U-01A",3.76359931857532,3.78162260654836,3.58400173663071,3.53333397374968,"CHOL"
"TCGA-W5-AA34-01A",3.73927904772605,3.73544699932383,3.39127135459886,3.42116651405421,"CHOL"
"TCGA-3X-AAVB-01A",3.85452474355056,3.66559889977716,3.56318717372666,3.41201732987529,"CHOL"
"TCGA-ZU-A8S4-01A",3.88568284312836,3.73441190055724,3.52782359541733,3.54786788922578,"CHOL"
"TCGA-W5-AA2U-11A",3.29055336767922,3.66387930964425,3.4534590117373,3.10459558524888,"CHOL"
"TCGA-W5-AA30-11A",3.35113612143465,3.68658330343084,3.47351257623684,3.13804151429679,"CHOL"
"TCGA-W5-AA38-01A",3.77417697351968,3.81373561568815,3.54598851239811,3.50518470433426,"CHOL"
"TCGA-W5-AA2H-01A",3.64360547714929,3.61320767994914,3.43494482507986,3.39779815582946,"CHOL"
"TCGA-W5-AA2O-01A",3.73107989054775,3.74463062342719,3.59578678296681,3.54454502869655,"CHOL"
"TCGA-W5-AA2W-01A",3.79194911199878,3.78627748462979,3.47145272442323,3.49811823766459,"CHOL"
"TCGA-24-1104-01A",3.95134528380627,3.79084081962052,3.48933807782464,3.53450756483821,"OV"
"TCGA-25-1320-01A",3.96141790397658,3.76905354203184,3.67779769053712,3.62970094271206,"OV"
"TCGA-24-1850-01A",3.92266060387524,3.73401795943686,3.48354109400296,3.49733967522839,"OV"
